Date,Actual_Usage,Actual_Delivery,Total_Gas_Before,Total_Gas_After,Max_Injection_Limit,Max_Withdrawal_Limit,EOM_Min_Storage,EOM_Max_Storage,Usage_P10,Usage_P50,Usage_P95,Opt_Delivery,Opt_Storage_After,Actual_Daily_Violation,Actual_Monthly_Violation,Opt_Daily_Violation,Opt_Monthly_Violation,
1/1/2022,1048.99,1354.4109,124401.4589,124706.8798,434.523,1448.41,50694.35,65178.45,789.8159157,1175.166607,2070.396483,916.6939643,124269.1629,FALSE,FALSE,FALSE,FALSE,
1/2/2022,1950.08,1354.4109,124706.8798,124111.2107,434.523,1448.41,50694.35,65178.45,1051.27704,1430.143564,2147.842464,1295.034978,124051.8348,FALSE,FALSE,FALSE,FALSE,
1/3/2022,2538.59,1354.4109,124111.2107,122927.0316,434.523,1448.41,50694.35,65178.45,1736.596423,2222.560696,2526.183478,1296.552257,122869.173,FALSE,FALSE,FALSE,FALSE,
1/4/2022,2637.18,1354.4109,122927.0316,121644.2625,434.523,1448.41,50694.35,65178.45,1758.520059,2259.256112,2527.700757,1469.727349,121759.5789,FALSE,FALSE,FALSE,FALSE,
1/5/2022,3003.28,1354.4109,121644.2625,119995.3934,434.523,1448.41,50694.35,65178.45,1749.59439,2188.457278,2700.875849,1299.484595,119940.4671,TRUE,FALSE,TRUE,FALSE,
1/6/2022,2436.83,1354.4109,119995.3934,118912.9743,434.523,1448.41,50694.35,65178.45,1611.760474,2146.299272,2530.633095,983.8439013,118542.4073,FALSE,FALSE,TRUE,FALSE,
1/7/2022,2069.67,1354.4109,118912.9743,118197.7152,434.523,1448.41,50694.35,65178.45,1281.893498,1693.586432,2214.992401,1045.485317,117888.7896,FALSE,FALSE,FALSE,FALSE,
1/8/2022,1618.6,1354.4109,118197.7152,117933.5261,434.523,1448.41,50694.35,65178.45,1281.448672,1584.46471,2276.633817,1133.040113,117712.1553,FALSE,FALSE,FALSE,FALSE,
1/9/2022,2165.13,1354.4109,117933.5261,117122.807,434.523,1448.41,50694.35,65178.45,1373.550224,2001.931981,2364.188613,1507.820632,117276.2167,FALSE,FALSE,FALSE,FALSE,
1/10/2022,2494.52,1354.4109,117122.807,115982.6979,434.523,1448.41,50694.35,65178.45,1798.253712,2452.898735,2738.969132,1491.445076,116119.7321,FALSE,FALSE,FALSE,FALSE,
1/11/2022,2452.57,1354.4109,115982.6979,114884.5388,434.523,1448.41,50694.35,65178.45,1821.446133,2441.905512,2722.593576,1492.019411,115022.1473,FALSE,FALSE,FALSE,FALSE,
1/12/2022,2390.67,1354.4109,114884.5388,113848.2797,434.523,1448.41,50694.35,65178.45,1803.017927,2395.734288,2723.167911,1469.414451,113963.2833,FALSE,FALSE,FALSE,FALSE,
1/13/2022,2292.06,1354.4109,113848.2797,112910.6306,434.523,1448.41,50694.35,65178.45,1630.617551,2379.786106,2700.562951,1034.923399,112591.1431,FALSE,FALSE,FALSE,FALSE,
1/14/2022,1891.34,1354.4109,112910.6306,112373.7015,434.523,1448.41,50694.35,65178.45,1351.25347,1914.582891,2266.071899,920.8454859,111940.1361,FALSE,FALSE,FALSE,FALSE,
1/15/2022,1470.7,1354.4109,112373.7015,112257.4124,434.523,1448.41,50694.35,65178.45,1291.406316,1669.114178,2151.993986,1161.135153,112064.1367,FALSE,FALSE,FALSE,FALSE,
1/16/2022,2144.15,1354.4109,112257.4124,111467.6733,434.523,1448.41,50694.35,65178.45,1441.290881,2024.139021,2392.283653,1497.555765,111610.8182,FALSE,FALSE,FALSE,FALSE,
1/17/2022,2513.4,1354.4109,111467.6733,110308.6842,434.523,1448.41,50694.35,65178.45,1685.308322,2473.312199,2728.704265,1514.694996,110468.9683,FALSE,FALSE,FALSE,FALSE,
1/18/2022,2412.7,1354.4109,110308.6842,109250.3951,434.523,1448.41,50694.35,65178.45,1859.33425,2404.101543,2745.843496,1525.545725,109421.5299,FALSE,FALSE,FALSE,FALSE,
1/19/2022,2435.79,1354.4109,109250.3951,108169.016,434.523,1448.41,50694.35,65178.45,1773.000367,2357.059806,2756.694225,1458.744474,108273.3496,FALSE,FALSE,FALSE,FALSE,
1/20/2022,2465.15,1354.4109,108169.016,107058.2769,434.523,1448.41,50694.35,65178.45,1588.562668,2302.343569,2689.892974,1095.934619,106799.8006,FALSE,FALSE,FALSE,FALSE,
1/21/2022,2018.27,1354.4109,107058.2769,106394.4178,434.523,1448.41,50694.35,65178.45,1378.052533,1793.552434,2327.083119,1099.768236,106139.7751,FALSE,FALSE,FALSE,FALSE,
1/22/2022,1300.76,1354.4109,106394.4178,106448.0687,434.523,1448.41,50694.35,65178.45,1256.91661,1594.603383,2330.916736,1118.220135,106211.8779,FALSE,FALSE,FALSE,FALSE,
1/23/2022,1952.19,1354.4109,106448.0687,105850.2896,434.523,1448.41,50694.35,65178.45,1335.004535,1862.374904,2349.368635,1512.508718,106008.3874,FALSE,FALSE,FALSE,FALSE,
1/24/2022,2517.6,1354.4109,105850.2896,104687.1005,434.523,1448.41,50694.35,65178.45,1763.850144,2383.498709,2743.657218,1453.376105,104786.0657,FALSE,FALSE,FALSE,FALSE,
1/25/2022,2555.37,1354.4109,104687.1005,103486.1414,434.523,1448.41,50694.35,65178.45,1763.336804,2323.846648,2684.524605,1492.231909,103623.9624,FALSE,FALSE,FALSE,FALSE,
1/26/2022,2256.4,1354.4109,103486.1414,102584.1523,434.523,1448.41,50694.35,65178.45,1714.712217,2318.393455,2723.380409,1440.435115,102670.1765,FALSE,FALSE,FALSE,FALSE,
1/27/2022,1829.45,1354.4109,102584.1523,102109.1132,434.523,1448.41,50694.35,65178.45,1595.047873,2270.42569,2671.583615,1083.701146,101838.4034,FALSE,FALSE,FALSE,FALSE,
1/28/2022,1913.37,1354.4109,102109.1132,101550.1541,434.523,1448.41,50694.35,65178.45,1356.000091,1753.179336,2314.849646,1030.882829,101226.626,FALSE,FALSE,FALSE,FALSE,
1/29/2022,1387.83,1354.4109,101550.1541,101516.735,434.523,1448.41,50694.35,65178.45,1192.284766,1427.812913,2262.031329,1061.980989,101224.3051,FALSE,FALSE,FALSE,FALSE,
1/30/2022,1760.21,1354.4109,101516.735,101110.9359,434.523,1448.41,50694.35,65178.45,1234.391162,1701.107617,2293.129489,1382.104777,101138.6298,FALSE,FALSE,FALSE,FALSE,
1/31/2022,2230.18,1354.4109,101110.9359,100235.1668,434.523,1448.41,50694.35,65178.45,1666.96142,2269.255599,2613.253277,1519.502999,100400.2589,FALSE,TRUE,FALSE,TRUE,
2/1/2022,2335.08,1411.7091,100235.1668,99311.7959,434.523,1231.1485,14484.1,36210.25,1586.497675,2270.268137,2565.979224,1570.343002,99470.4298,FALSE,FALSE,FALSE,FALSE,
2/2/2022,2063.38,1411.7091,99311.7959,98660.125,434.523,1231.1485,14484.1,36210.25,1649.668842,2241.927742,2616.819227,1497.701207,98746.11711,FALSE,FALSE,FALSE,FALSE,
2/3/2022,2174.58,1411.7091,98660.125,97897.2541,434.523,1231.1485,14484.1,36210.25,1529.491384,2261.956557,2544.177432,1223.657273,97709.20227,FALSE,FALSE,FALSE,FALSE,
2/4/2022,1747.63,1411.7091,97897.2541,97561.3332,434.523,1231.1485,14484.1,36210.25,1314.916989,1785.834602,2270.133498,1151.822187,97301.44629,FALSE,FALSE,FALSE,FALSE,
2/5/2022,1631.19,1411.7091,97561.3332,97341.8523,434.523,1231.1485,14484.1,36210.25,1158.780054,1484.619471,2198.298412,1165.365584,97095.50878,FALSE,FALSE,FALSE,FALSE,
2/6/2022,1766.51,1411.7091,97341.8523,96987.0514,434.523,1231.1485,14484.1,36210.25,1310.039401,1711.953447,2211.841809,1552.144621,97127.48692,FALSE,FALSE,FALSE,FALSE,
2/7/2022,2010.93,1411.7091,96987.0514,96387.8305,434.523,1231.1485,14484.1,36210.25,1660.393392,2259.409847,2598.620846,1552.108178,96528.22958,FALSE,FALSE,FALSE,FALSE,
2/8/2022,1927.01,1411.7091,96387.8305,95872.5296,434.523,1231.1485,14484.1,36210.25,1653.664845,2225.901728,2598.584403,1526.356821,95987.17732,FALSE,FALSE,FALSE,FALSE,
