Date,ensemble_preds,sarimax_preds
1/1/2024,2130.562782,1717.57994
1/2/2024,2412.590574,2020.014026
1/3/2024,2476.450787,2037.778064
1/4/2024,2315.830481,1885.417266
1/5/2024,1741.18326,1246.268943
1/6/2024,1384.624877,992.997732
1/7/2024,1782.249306,1434.703264
1/8/2024,2368.803505,2042.904613
1/9/2024,2525.680321,2149.390329
1/10/2024,2517.332179,2080.619953
1/11/2024,2385.393249,1891.620453
1/12/2024,1802.887837,1275.326916
1/13/2024,1494.240823,1056.701432
1/14/2024,1941.860348,1490.960122
1/15/2024,2453.028356,2079.24593
1/16/2024,2679.959496,2165.630109
1/17/2024,2596.110192,2087.459584
1/18/2024,2379.138887,1894.129272
1/19/2024,1856.996661,1279.090608
1/20/2024,1597.884133,1063.016592
1/21/2024,2023.98878,1496.376673
1/22/2024,2568.150206,2082.79404
1/23/2024,2644.958748,2167.355594
1/24/2024,2544.812283,2088.320099
1/25/2024,2385.465172,1894.583265
1/26/2024,1831.909428,1279.63202
1/27/2024,1488.112581,1063.765091
1/28/2024,1897.889173,1497.040437
1/29/2024,2447.018678,2083.292615
1/30/2024,2576.563607,2167.694704
1/31/2024,2492.532494,2088.583184
2/1/2024,2344.288286,1894.810404
2/2/2024,1781.253844,1279.866086
2/3/2024,1514.976737,1064.016612
2/4/2024,1917.346281,1497.284455
2/5/2024,2459.151969,2083.522295
2/6/2024,2538.880204,2167.910591
2/7/2024,2518.800457,2088.792486
2/8/2024,2377.626482,1895.016586
2/9/2024,1793.05326,1280.072847
2/10/2024,1495.840015,1064.224863
2/11/2024,1893.785119,1497.492054
2/12/2024,2379.2817,2083.728658
2/13/2024,2509.165465,2168.115765
2/14/2024,2490.517445,2088.997092
2/15/2024,2273.784842,1895.220923
2/16/2024,1786.005504,1280.277233
2/17/2024,1496.63295,1064.429378
2/18/2024,1843.999792,1497.696513
2/19/2024,2367.545745,2083.93301
2/20/2024,2439.61154,2168.320015
2/21/2024,2478.319593,2089.201293
2/22/2024,2264.072252,1895.425101
2/23/2024,1759.906872,1280.481415
2/24/2024,1464.274958,1064.633571
2/25/2024,1761.378842,1497.900701
2/26/2024,2282.660606,2084.137189
2/27/2024,2486.627084,2168.524185
2/28/2024,2400.24818,2089.405459
2/29/2024,2268.37206,1895.629265
3/1/2024,1786.784697,1280.685579
3/2/2024,1427.558547,1064.837736
3/3/2024,1770.617831,1498.104865
3/4/2024,2251.714166,2084.341353
3/5/2024,2381.044837,2168.728348
3/6/2024,2360.259063,2089.609622
3/7/2024,2238.520963,1895.833427
3/8/2024,1698.741445,1280.889742
3/9/2024,1340.320912,1065.041898
3/10/2024,1726.093017,1498.309028
3/11/2024,2365.777763,2084.545516
3/12/2024,2448.18134,2168.932511
3/13/2024,2352.539092,2089.813784
3/14/2024,2162.969741,1896.03759
3/15/2024,1649.002111,1281.093905
3/16/2024,1396.916083,1065.246061
3/17/2024,1792.669855,1498.513191
3/18/2024,2320.433575,2084.749678
3/19/2024,2435.94567,2169.136673
3/20/2024,2353.46356,2090.017947
3/21/2024,2210.358987,1896.241752
3/22/2024,1726.281343,1281.298067
3/23/2024,1412.611993,1065.450223
3/24/2024,1828.84693,1498.717353
3/25/2024,2352.316319,2084.953841
3/26/2024,2478.615429,2169.340836
3/27/2024,2380.786472,2090.222109
3/28/2024,2201.919653,1896.445915
3/29/2024,1567.309697,1281.50223
3/30/2024,1320.943099,1065.654386
3/31/2024,1651.170724,1498.921516
4/1/2024,2033.830679,2085.158003
4/2/2024,2201.890726,2169.544998
4/3/2024,2201.934014,2090.426272
4/4/2024,1844.33709,1896.650077
4/5/2024,1405.380939,1281.706392
4/6/2024,1265.322124,1065.858549
4/7/2024,1638.004994,1499.125678
4/8/2024,2196.175349,2085.362166
4/9/2024,2284.23213,2169.749161
4/10/2024,2271.004817,2090.630434
4/11/2024,2041.722962,1896.85424
4/12/2024,1565.030161,1281.910555
4/13/2024,1309.472805,1066.062711
