Model,Usage Type,MAE,MSE,L3,RMSE,MAPE,WMAPE,SMAPE
Basic Catboost,Usage - 1,27.727178534862166,1438.6822931434883,108833.89890017113,37.92996563593867,7.80927063083356,7.702780880669953,7.683537361388253
Basic Catboost,Usage - 2,196.8006240451167,57391.26280645452,19800368.132291365,239.56473614965645,11.897213467180572,11.363689330516422,11.400412862317454
Basic Catboost,Usage - 2_1,7.783224883529947,78.82758291074167,908.6308270376943,8.878489900357023,23.142255981065652,22.115487753384812,23.01798077385046
Basic LGBM,Usage - 1,27.188113845161283,1602.9270934796045,131585.51442722985,40.03657194965129,7.541755937976655,7.553025391482642,7.576939887601731
Basic LGBM,Usage - 2,194.98620258064523,59523.928150910266,21760794.09650673,243.97526135022434,11.779100288790083,11.25892075096076,11.189317899725326
Basic LGBM,Usage - 2_1,7.97515253387097,104.94297463813031,1740.569857069893,10.244167835316361,22.611431420921384,22.660836714023834,22.531105896757794
Basic Xgboost,Usage - 1,,,,,,0.0,
Basic Xgboost,Usage - 2,,,,,,0.0,
Basic Xgboost,Usage - 2_1,,,,,,0.0,
Catboost + Regime,Usage - 1,27.625335363619776,1373.3354767987466,100355.20904313319,37.058541212502504,7.797926523790288,7.674488220769982,7.689597689121466
Catboost + Regime,Usage - 2,197.58321779570085,56408.480397319945,18931413.934729584,237.50469552688836,11.904546596541243,11.408877969001647,11.430212662030904
Catboost + Regime,Usage - 2_1,7.739414391022177,77.45023230588993,900.3550220486036,8.800581361812975,23.75289644473726,21.991003310878774,22.898623469939913
Ensemble,Usage - 1,30.019058929435747,1738.5230274307592,152109.17803173538,41.695599617114986,8.509581443156678,8.339479362699311,8.431583409135104
Ensemble,Usage - 2,182.51180730811356,51831.00178856695,17191192.268983454,227.66423036693084,10.910258151650956,10.538622463539603,10.505826999078847
Ensemble,Usage - 2_1,6.6424065267791805,66.79054193963846,803.8146638814759,8.172548068970807,17.973601056770143,18.873932385898677,19.169280719692228
LGBM + Regime,Usage - 1,26.949161978808895,1348.649961744936,95450.00883312595,36.72396985273972,7.603999638815831,7.486643092063848,7.586146012286452
LGBM + Regime,Usage - 2,202.08301180203713,63763.7495621793,25542011.937361654,252.51485018148793,12.43497943062094,11.668705707797859,11.752453482527203
LGBM + Regime,Usage - 2_1,5.970405161198546,61.41693509433681,850.3350073202994,7.836895756250482,18.792506815429125,16.96448762577038,17.62058351432271
LGBM + Temp,Usage - 1,31.220916012794063,1624.8628955683332,116520.82133017374,40.309588134441825,8.888684757471323,8.673362658879277,8.813996735939368
LGBM + Temp,Usage - 2,207.22158133495975,62096.14469835635,22099929.50406259,249.19098037119312,13.18270097575376,11.965417712948831,12.667021658927204
LGBM + Temp,Usage - 2_1,7.620297092112301,97.4482940774696,1523.9727456524508,9.871590250687555,20.359647225968693,21.652539858430913,22.429737643882522
Timesnet,Usage - 1,45.048525535483854,3322.770777394802,311292.0955277008,57.64347992093123,12.386881869519602,12.514757704640079,12.248350904243512
Timesnet,Usage - 2,208.76684144333333,66714.90282145895,25617357.106787045,258.2922817690435,12.260479345993737,11.665784844774226,11.95442936088231
Timesnet,Usage - 2_1,11.55951213967742,239.1184663428286,6120.016432420525,15.463455834412585,28.13779939653221,32.84554320164986,34.90702567820337
