Date,Usage
2015-08-01,330.24
2015-08-02,686.28
2015-08-03,1529.42
2015-08-04,1615.08
2015-08-05,1543.87
2015-08-06,1702.8
2015-08-07,1012.39
2015-08-08,569.66
2015-08-09,1093.92
2015-08-10,1586.18
2015-08-11,1534.58
2015-08-12,1629.53
2015-08-13,1169.26
2015-08-14,618.17
2015-08-15,411.77
2015-08-16,1022.71
2015-08-17,1409.71
2015-08-18,1755.43
2015-08-19,1440.67
2015-08-20,1142.42
2015-08-21,636.74
2015-08-22,394.22
2015-08-23,821.47
2015-08-24,1529.42
2015-08-25,1373.59
2015-08-26,1759.59
2015-08-27,1434.48
2015-08-28,788.45
2015-08-29,424.15
2015-08-30,1016.52
2015-08-31,1632.5
2015-09-01,1281.95
2015-09-02,1405.91
2015-09-03,1388.35
2015-09-04,519.6
2015-09-05,199.37
2015-09-06,512.37
2015-09-07,712.77
2015-09-08,1225.14
2015-09-09,1586.69
2015-09-10,1059.86
2015-09-11,571.25
2015-09-12,336.76
2015-09-13,1141.46
2015-09-14,1312.94
2015-09-15,1302.61
2015-09-16,1386.29
2015-09-17,1173.49
2015-09-18,551.62
2015-09-19,481.38
2015-09-20,1060.89
2015-09-21,1437.94
2015-09-22,1201.38
2015-09-23,1181.75
2015-09-24,1244.77
2015-09-25,572.28
2015-09-26,415.27
2015-09-27,1172.45
2015-09-28,1547.43
2015-09-29,1286.09
2015-09-30,1244.77
2015-10-01,1248.9
2015-10-02,472.54
2015-10-03,407.4
2015-10-04,1280.09
2015-10-05,1769.17
2015-10-06,1661.64
2015-10-07,1445.53
2015-10-08,1383.49
2015-10-09,554.22
2015-10-10,392.92
2015-10-11,1192.2
2015-10-12,1475.52
2015-10-13,1494.13
2015-10-14,1390.73
2015-10-15,1106.38
2015-10-16,860.29
2015-10-17,412.57
2015-10-18,950.25
2015-10-19,1418.65
2015-10-20,1339.03
2015-10-21,1562.37
2015-10-22,1019.52
2015-10-23,354.66
2015-10-24,287.45
2015-10-25,827.2
2015-10-26,1403.14
2015-10-27,1454.84
2015-10-28,1426.92
2015-10-29,1081.56
2015-10-30,574.9
2015-10-31,371.0
2015-11-01,854.08
2015-11-02,1284.23
2015-11-03,1390.73
2015-11-04,1561.34
2015-11-05,1351.44
2015-11-06,515.97
2015-11-07,365.0
2015-11-08,761.02
2015-11-09,1322.49
2015-11-10,1484.82
2015-11-11,1280.09
2015-11-12,1303.87
2015-11-13,672.1
2015-11-14,472.54
2015-11-15,962.65
2015-11-16,1635.79
2015-11-17,1545.83
2015-11-18,1512.74
2015-11-19,1201.51
2015-11-20,694.85
2015-11-21,499.42
2015-11-22,1586.16
2015-11-23,1584.09
2015-11-24,1159.11
2015-11-25,550.09
2015-11-26,202.66
2015-11-27,371.21
2015-11-28,633.84
2015-11-29,1164.28
2015-11-30,1788.0
