Date,Usage
2015-08-01,0.0
2015-08-02,0.0
2015-08-03,0.0
2015-08-04,0.0
2015-08-05,0.0
2015-08-06,0.0
2015-08-07,0.0
2015-08-08,0.0
2015-08-09,0.0
2015-08-10,0.0
2015-08-11,0.0
2015-08-12,0.0
2015-08-13,0.0
2015-08-14,0.0
2015-08-15,0.0
2015-08-16,0.0
2015-08-17,0.0
2015-08-18,0.0
2015-08-19,0.0
2015-08-20,0.0
2015-08-21,0.0
2015-08-22,0.0
2015-08-23,0.0
2015-08-24,0.0
2015-08-25,0.0
2015-08-26,0.0
2015-08-27,0.0
2015-08-28,0.0
2015-08-29,0.0
2015-08-30,0.0
2015-08-31,0.0
2015-09-01,0.0
2015-09-02,0.0
2015-09-03,0.0
2015-09-04,0.0
2015-09-05,0.0
2015-09-06,0.0
2015-09-07,0.0
2015-09-08,0.0
2015-09-09,0.0
2015-09-10,0.0
2015-09-11,0.0
2015-09-12,0.0
2015-09-13,0.0
2015-09-14,0.0
2015-09-15,0.0
2015-09-16,0.0
2015-09-17,0.0
2015-09-18,0.0
2015-09-19,0.0
2015-09-20,0.0
2015-09-21,0.0
2015-09-22,0.0
2015-09-23,0.0
2015-09-24,4.13
2015-09-25,0.0
2015-09-26,0.0
2015-09-27,0.0
2015-09-28,1.03
2015-09-29,10.33
2015-09-30,58.88
2015-10-01,53.72
2015-10-02,69.21
2015-10-03,66.11
2015-10-04,63.01
2015-10-05,64.05
2015-10-06,71.28
2015-10-07,72.31
2015-10-08,71.28
2015-10-09,80.57
2015-10-10,74.38
2015-10-11,68.18
2015-10-12,71.28
2015-10-13,79.54
2015-10-14,76.44
2015-10-15,79.54
2015-10-16,85.74
2015-10-17,87.81
2015-10-18,78.51
2015-10-19,70.24
2015-10-20,72.31
2015-10-21,69.21
2015-10-22,75.0
2015-10-23,73.0
2015-10-24,76.44
2015-10-25,80.57
2015-10-26,76.44
2015-10-27,76.44
2015-10-28,83.75
2015-10-29,86.86
2015-10-30,80.65
2015-10-31,85.82
2015-11-01,76.52
